topic,title,pmid,doi,pubmed_url
Parkinson's Disease Treatment,Emerging therapies in Parkinson disease - repurposed drugs and new approaches,30867588,10.1038/s41582-019-0155-7,https://pubmed.ncbi.nlm.nih.gov/30867588/
Parkinson's Disease Treatment,Some Novel Therapies in Parkinson's Disease: A Promising Path Forward or Not Yet? A Systematic Review of the Literature,38540162,10.3390/biomedicines12030549,https://pubmed.ncbi.nlm.nih.gov/38540162/
Parkinson's Disease Treatment,A Systematic Review on Disease-Modifying Therapies in Parkinsonian Disorders,42104724,10.1002/cpt.70315,https://pubmed.ncbi.nlm.nih.gov/42104724/
Heart Failure Treatment,Advances in Diagnosis and Treatment of Acute and Chronic Heart Failure: A Comprehensive Review,41598556,10.3390/jcm15020618,https://pubmed.ncbi.nlm.nih.gov/41598556/
Heart Failure Treatment,Pharmacologic Treatment of Heart Failure With Reduced Ejection Fraction: An Updated Systematic Review and Network Meta-Analysis,40892608,10.1016/j.jacc.2025.08.054,https://pubmed.ncbi.nlm.nih.gov/40892608/
Heart Failure Treatment,Update on heart failure management and future directions,30612416,10.3904/kjim.2018.428,https://pubmed.ncbi.nlm.nih.gov/30612416/
Heart Failure Treatment,"Initiation and Up-titration of Guideline-directed Medical Therapy for Patients with Heart Failure: Better, Faster, Stronger!",38533397,10.15420/cfr.2023.20,https://pubmed.ncbi.nlm.nih.gov/38533397/
Breast Cancer Biomarkers,"Breast cancer biomarkers: risk assessment, diagnosis, prognosis, prediction of treatment efficacy and toxicity, and recurrence",24283956,10.2174/1381612819666131125145517,https://pubmed.ncbi.nlm.nih.gov/24283956/
Nanoparticle Drug Delivery,Nanoparticle-Based Drug Delivery Systems: Current Advances and Future Directions,40947723,10.2174/0113894501393535250903071153,https://pubmed.ncbi.nlm.nih.gov/40947723/
Nanoparticle Drug Delivery,Nanoparticle Drug Delivery Systems: The Future Direction for the Treatment of Tumors,42226962,10.2147/IJN.S598126,https://pubmed.ncbi.nlm.nih.gov/42226962/
Autoimmune Disease Treatment,Autoimmune Diseases: Molecular Pathogenesis and Therapeutic Targets,40529617,,https://pubmed.ncbi.nlm.nih.gov/40529617/
Autoimmune Disease Treatment,Targeted Immunotherapy for Autoimmune Disease,35291650,10.4110/in.2022.22.e9,https://pubmed.ncbi.nlm.nih.gov/35291650/
Autoimmune Disease Treatment,"Autoimmune diseases: targets, biology, and drug discovery",38097717,10.1038/s41401-023-01207-2,https://pubmed.ncbi.nlm.nih.gov/38097717/
Autoimmune Disease Treatment,The treatment strategies of autoimmune disease may need a different approach from conventional protocol: a review,23248391,10.4103/0253-7613.103235,https://pubmed.ncbi.nlm.nih.gov/23248391/
